epoch,loss,loss/data,loss/ic,loss/res,loss/zeta,lr,step
,,,,,,0.001,0
0,1.3932478427886963,0.5241264700889587,0.5330420732498169,0.33607959747314453,0.019579317420721054,,99
,,,,,,0.001,100
1,0.5655372738838196,0.22140266001224518,0.11672832071781158,0.22740620374679565,0.017652058973908424,,199
,,,,,,0.001,200
2,0.6134846806526184,0.34808632731437683,0.04821496456861496,0.21718354523181915,0.01737888902425766,,299
,,,,,,0.001,300
3,0.5193239450454712,0.33798927068710327,0.050288233906030655,0.13104622066020966,0.017083311453461647,,399
,,,,,,0.001,400
4,0.44839850068092346,0.32599878311157227,0.029495825991034508,0.09290383011102676,0.016865650191903114,,499
,,,,,,0.001,500
5,0.41695088148117065,0.31915736198425293,0.020450111478567123,0.07734344154596329,0.016662871465086937,,599
,,,,,,0.001,600
6,0.39715340733528137,0.31085360050201416,0.028858695179224014,0.05744113028049469,0.016564343124628067,,699
,,,,,,0.001,700
7,0.3640609085559845,0.28463485836982727,0.018828682601451874,0.06059733405709267,0.016509950160980225,,799
,,,,,,0.001,800
8,0.36166876554489136,0.26136255264282227,0.04569190740585327,0.05461422726511955,0.016481954604387283,,899
,,,,,,0.001,900
9,0.30849024653434753,0.24054352939128876,0.009596372954547405,0.0583503432571888,0.016458705067634583,,999
,,,,,,0.001,1000
10,0.35461094975471497,0.28277042508125305,0.02065606601536274,0.05118450149893761,0.016447942703962326,,1099
,,,,,,0.001,1100
11,0.34307345747947693,0.26384156942367554,0.029340490698814392,0.04989148676395416,0.016472887247800827,,1199
,,,,,,0.001,1200
12,0.35143905878067017,0.26048919558525085,0.04109980911016464,0.04985000193119049,0.016541890799999237,,1299
,,,,,,0.001,1300
13,0.3456263542175293,0.2830906808376312,0.01914997398853302,0.04338570684194565,0.016556087881326675,,1399
,,,,,,0.001,1400
14,0.30405473709106445,0.21372470259666443,0.02065175399184227,0.06967832893133163,0.01657814159989357,,1499
,,,,,,0.001,1500
15,0.34067463874816895,0.2786412835121155,0.014279186725616455,0.04775408282876015,0.016593419015407562,,1599
,,,,,,0.001,1600
16,0.3346789479255676,0.2790836691856384,0.015118283219635487,0.04047686606645584,0.016618862748146057,,1699
,,,,,,0.001,1700
17,0.3473747670650482,0.261533260345459,0.018293995410203934,0.06754749268293381,0.016665341332554817,,1799
,,,,,,0.001,1800
18,0.3230646848678589,0.25654351711273193,0.01028592698276043,0.05623527243733406,0.01669721119105816,,1899
,,,,,,0.001,1900
19,0.3325807750225067,0.262439101934433,0.015195535495877266,0.05494602769613266,0.016713961958885193,,1999
,,,,,,0.001,2000
20,0.33232566714286804,0.2696056663990021,0.02216974087059498,0.04055028036236763,0.016723735257983208,,2099
,,,,,,0.001,2100
21,0.3153184652328491,0.26449093222618103,0.011831475421786308,0.03899586200714111,0.016743170097470284,,2199
,,,,,,0.001,2200
22,0.3280569016933441,0.26563289761543274,0.01129140891134739,0.05113261938095093,0.016808154061436653,,2299
,,,,,,0.001,2300
23,0.3151186406612396,0.28118032217025757,0.007790599018335342,0.02614765614271164,0.01674877665936947,,2399
,,,,,,0.001,2400
24,0.3086429238319397,0.27483639121055603,0.008383939042687416,0.02542267180979252,0.016600221395492554,,2499
,,,,,,0.001,2500
25,0.3254840075969696,0.27597612142562866,0.0163376834243536,0.033170185983181,0.016746584326028824,,2599
,,,,,,0.001,2600
26,0.327254056930542,0.2783775329589844,0.011160263791680336,0.037716206163167953,0.016756365075707436,,2699
,,,,,,0.001,2700
27,0.31849148869514465,0.283296138048172,0.0058463760651648045,0.02934904769062996,0.01668073982000351,,2799
,,,,,,0.001,2800
28,0.33944278955459595,0.27317094802856445,0.023935815319418907,0.04233613982796669,0.016674228012561798,,2899
,,,,,,0.001,2900
29,0.3042866885662079,0.2584340572357178,0.011011718772351742,0.03484082221984863,0.016655702143907547,,2999
,,,,,,0.001,3000
30,0.3089655637741089,0.2760063707828522,0.00623647216707468,0.0267227441072464,0.016633009538054466,,3099
,,,,,,0.001,3100
31,0.33382609486579895,0.27166762948036194,0.02388717047870159,0.03827144578099251,0.01661456935107708,,3199
,,,,,,0.001,3200
32,0.3125322163105011,0.26954078674316406,0.017023617401719093,0.025967907160520554,0.016596592962741852,,3299
,,,,,,0.001,3300
33,0.3128238618373871,0.2721497416496277,0.015826094895601273,0.024847976863384247,0.01657032035291195,,3399
,,,,,,0.001,3400
34,0.2934778928756714,0.24816574156284332,0.014200965873897076,0.03111124224960804,0.016544168815016747,,3499
,,,,,,0.001,3500
35,0.3264797627925873,0.27444136142730713,0.02238662727177143,0.029651695862412453,0.01653110980987549,,3599
,,,,,,0.001,3600
36,0.3155083656311035,0.28987541794776917,0.0022390789818018675,0.02339390106499195,0.01653032936155796,,3699
,,,,,,0.001,3700
37,0.314404159784317,0.2544317841529846,0.03309699892997742,0.02687525935471058,0.016509754583239555,,3799
,,,,,,0.001,3800
38,0.32802945375442505,0.2658454179763794,0.025553779676556587,0.03663041442632675,0.016497479751706123,,3899
,,,,,,0.001,3900
39,0.3078257739543915,0.27232974767684937,0.012314250692725182,0.023181691765785217,0.016448762267827988,,3999
,,,,,,0.001,4000
40,0.31172916293144226,0.27217864990234375,0.016427479684352875,0.023123109713196754,0.01639980636537075,,4099
,,,,,,0.001,4100
41,0.2979983985424042,0.26791632175445557,0.004301561042666435,0.025780655443668365,0.016229992732405663,,4199
,,,,,,0.001,4200
42,0.3098272383213043,0.2856143116950989,0.006994029972702265,0.01721899025142193,0.015842020511627197,,4299
,,,,,,0.001,4300
43,0.29195359349250793,0.2679765224456787,0.003085647476837039,0.02089136652648449,0.01568782888352871,,4399
,,,,,,0.001,4400
44,0.3110371530056,0.275301069021225,0.013254638761281967,0.022481560707092285,0.01558765396475792,,4499
,,,,,,0.001,4500
45,0.3152892291545868,0.2661649286746979,0.025394659489393234,0.023729737848043442,0.015516764484345913,,4599
,,,,,,0.001,4600
46,0.3082697093486786,0.2618267834186554,0.01853298582136631,0.02790994569659233,0.015471359714865685,,4699
,,,,,,0.001,4700
47,0.30437061190605164,0.2802373468875885,0.002792480168864131,0.021340789273381233,0.015363423153758049,,4799
,,,,,,0.001,4800
48,0.3091922700405121,0.2801957130432129,0.005476733669638634,0.023519953712821007,0.015150641091167927,,4899
,,,,,,0.001,4900
49,0.3035143315792084,0.2701416015625,0.010122244246304035,0.023250555619597435,0.015103418380022049,,4999
,,,,,,0.001,5000
50,0.3096996545791626,0.2739889323711395,0.009829956106841564,0.025880960747599602,0.015043078921735287,,5099
,,,,,,0.001,5100
51,0.30776524543762207,0.2710069715976715,0.013576271012425423,0.023182068020105362,0.014994827099144459,,5199
,,,,,,0.001,5200
52,0.3031950891017914,0.28021326661109924,0.0016251516062766314,0.02135665901005268,0.01493087038397789,,5299
,,,,,,0.001,5300
53,0.30650466680526733,0.26706641912460327,0.017332356423139572,0.022105883806943893,0.01486608013510704,,5399
,,,,,,0.001,5400
54,0.32008251547813416,0.2796257436275482,0.014471261762082577,0.02598554641008377,0.014810536056756973,,5499
,,,,,,0.001,5500
55,0.29432618618011475,0.2675803601741791,0.005910872016102076,0.020834853872656822,0.014750274829566479,,5599
,,,,,,0.001,5600
56,0.3254651725292206,0.28293177485466003,0.019848346710205078,0.022685004398226738,0.014609872363507748,,5699
,,,,,,0.001,5700
57,0.3166200816631317,0.2758635878562927,0.018282143399119377,0.022474242374300957,0.014115496538579464,,5799
,,,,,,0.001,5800
58,0.31331026554107666,0.2751474976539612,0.015416343696415424,0.02274622581899166,0.013962621800601482,,5899
,,,,,,0.001,5900
59,0.2886471748352051,0.2594899535179138,0.005369887687265873,0.02378741279244423,0.013931195251643658,,5999
,,,,,,0.001,6000
60,0.32302796840667725,0.27601006627082825,0.02058388851583004,0.026434067636728287,0.01372827310115099,,6099
,,,,,,0.001,6100
61,0.2811887860298157,0.24312053620815277,0.013666889630258083,0.024401355534791946,0.013650611974298954,,6199
,,,,,,0.001,6200
62,0.304034948348999,0.2759135961532593,0.0055143260397017,0.022606896236538887,0.013559919781982899,,6299
,,,,,,0.001,6300
63,0.3016224503517151,0.27572840452194214,0.0037541461642831564,0.022139854729175568,0.013469239696860313,,6399
,,,,,,0.001,6400
64,0.30452296137809753,0.2738742530345917,0.008414870128035545,0.022233860567212105,0.013356366194784641,,6499
,,,,,,0.001,6500
65,0.30920127034187317,0.2859072685241699,0.0017968476749956608,0.021497122943401337,0.013292365707457066,,6599
,,,,,,0.001,6600
66,0.33223649859428406,0.287780225276947,0.020661907270550728,0.023794347420334816,0.013200711458921432,,6699
,,,,,,0.001,6700
67,0.2988375723361969,0.27175652980804443,0.0043365247547626495,0.022744538262486458,0.013093838468194008,,6799
,,,,,,0.001,6800
68,0.3080560863018036,0.27858760952949524,0.007574891671538353,0.0218934528529644,0.013000419363379478,,6899
,,,,,,0.001,6900
69,0.3124179542064667,0.2763739824295044,0.013668980449438095,0.02237488515675068,0.01290377788245678,,6999
,,,,,,0.001,7000
70,0.3162401020526886,0.2803805470466614,0.012110493145883083,0.02374913915991783,0.012686244212090969,,7099
,,,,,,0.001,7100
71,0.30273714661598206,0.2775972783565521,0.0023777743335813284,0.0227621141821146,0.012560686096549034,,7199
,,,,,,0.001,7200
72,0.30526700615882874,0.2729785144329071,0.00759002985432744,0.02469838783144951,0.012250112369656563,,7299
,,,,,,0.001,7300
73,0.3146637976169586,0.28740638494491577,0.005253490526229143,0.02200400084257126,0.010555936023592949,,7399
,,,,,,0.001,7400
74,0.29034653306007385,0.25657668709754944,0.009641796350479126,0.02412806637585163,0.008210403844714165,,7499
,,,,,,0.001,7500
75,0.29265403747558594,0.2705816328525543,0.002171261701732874,0.019900990650057793,0.0087435869500041,,7599
,,,,,,0.001,7600
76,0.30827510356903076,0.27206942439079285,0.015013189986348152,0.021192532032728195,0.009065593592822552,,7699
,,,,,,0.001,7700
77,0.30049771070480347,0.272136926651001,0.0062916395254433155,0.022069184109568596,0.008992494083940983,,7799
,,,,,,0.001,7800
78,0.30827972292900085,0.2860233783721924,0.0019391936948522925,0.020317314192652702,0.008921239525079727,,7899
,,,,,,0.001,7900
